S.no,Roll_num,Time
1,AP21110010416,105
2,AP21110011374,86
3,AP21110010311,106
4,AP21110010423,103
5,AP21110011525,105
6,AP21110010168,93
7,AP21110010980,111
8,AP21110010603,101
9,AP21110011373,102
10,AP21110010701,101
11,AP21110011498,100
12,AP21110010753,100
13,AP21110010154,50
14,AP21110010184,119
15,AP21110010506,100
16,AP21110011528,99
17,AP21110010457,106
18,AP21110010040,61
19,AP21110010143,17
20,AP21110011370,69
21,AP21110011098,88
22,AP21110010945,121
23,AP21110010496,39
24,AP21110010517,97
25,AP21110011173,96
26,AP21110010499,96
27,AP21110011185,120
28,AP21110011260,198
29,AP21110010528,95
30,AP21110011042,95
31,AP21110010008,121
32,AP21110011245,124
33,AP21110010725,92
34,AP21110010378,92
35,AP21110010714,92
36,AP21110010479,55
37,AP21110010504,65
38,AP21110010368,73
39,AP21110011241,84
40,AP21110010164,64
41,AP21110010059,77
42,AP21110011505,76
43,AP21110010013,73
44,AP21110010358,73
45,AP21110010754,73
46,AP21110010458,34
47,AP21110011239,114
48,AP21110010969,78
49,AP21110010626,70
50,AP21110010183,66
51,AP21110011093,49
52,AP21110011524,120
53,AP21110010910,63
54,AP21110011622,2
55,AP21110010726,108
56,AP21110011508,116
57,AP21110010444,108
58,AP21110010949,58
59,AP21110010021,57
60,AP21110011013,119
61,AP21110011483,57
62,AP21110010139,39
63,AP21110011457,44
64,AP21110010956,97
65,AP21110010872,35
66,AP21110010181,115
67,AP21110010791,102
68,AP21110011507,47
69,AP21110010920,111
70,AP21110010276,123
71,AP21110010173,22
72,AP21110011038,20
73,AP21110011391,105
74,AP21110010966,11
75,AP21110011547,125
76,AP21110010118,111
77,AP21110010400,124
78,AP21110010049,18
79,AP21110010709,112
80,AP21110010537,117
81,AP21110010889,67
82,AP21110011043,126
83,AP21110010655,126
84,AP21110010036,126
85,AP21110010289,126
86,AP21110010265,126
87,AP21110010715,126
88,AP21110010027,126
89,AP21110010296,124
90,AP21110010131,126
91,AP21110011429,126
92,AP21110010156,126
93,AP21110010320,126
94,AP21110011522,126
95,AP21110010681,125
96,AP21110010176,126
97,AP21110010048,125
98,AP21110010023,98
99,AP21110011421,126
100,AP21110011366,96
101,AP21110010274,126
102,AP21110010132,126
103,AP21110010664,90
104,AP21110011350,126
105,AP21110011379,126
106,AP21110010651,126
107,AP21110010523,125
108,AP21110010767,125
109,AP21110010303,125
110,AP21110010316,125
111,AP21110010047,125
112,AP21110010710,125
113,AP21110011381,75
114,AP21110010244,124
115,AP21110011405,125
116,AP21110011311,125
117,AP21110010058,124
118,AP21110010553,12
119,AP21110020021,123
120,AP21110011372,124
121,AP21110011305,123
122,AP21110010178,123
123,AP21110010430,61
124,AP21110010649,122
125,AP21110010151,123
126,AP21110011584,122
127,AP21110011533,122
128,AP21110010380,122
129,AP21110010332,122
130,AP21110010996,122
131,AP21110011041,122
132,AP21110010565,122
133,AP21110011540,122
134,AP21110011244,122
135,AP21110010907,122
136,AP21110010859,105
137,AP21110011339,121
138,AP21110010334,121
139,AP21110010226,121
140,AP21110011541,121
141,AP21110011490,121
142,AP21110010662,97
143,AP21110010750,108
144,AP21110010975,106
145,AP21110010136,16
146,AP21110010434,115
147,AP21110010111,112
148,AP21110010179,121
149,AP21110010844,120
150,AP21110010794,120
151,AP21110010883,119
152,AP21110010055,119
153,AP21110010222,118
154,AP21110010232,118
155,AP21110010007,118
156,AP21110010042,118
157,AP21110010169,117
158,AP21110010863,118
159,AP21110010667,118
160,AP21110011433,117
161,AP21110010294,117
162,AP21110010538,117
163,AP21110010150,117
164,AP21110010210,117
165,AP21110010539,117
166,AP21110010900,117
167,AP21110011393,116
168,AP21110010019,71
169,AP21110010846,116
170,AP21110011199,18
171,AP21110010669,115
172,AP21110010658,115
173,AP21110011553,114
174,AP21110010376,114
175,AP21110011282,114
176,AP21110010383,114
177,AP21110010468,113
178,AP21110010633,114
179,AP21110010707,113
180,AP21110010322,113
181,AP21110010310,112
182,AP21110010291,112
183,AP21110010699,111
184,AP21110011303,111
185,AP21110010899,112
186,AP21110010613,111
187,AP21110011559,112
188,AP21110020040,111
189,AP21110010197,111
190,AP21110011531,110
191,AP21110010687,111
192,AP21110011442,110
193,AP21110011274,110
194,AP21110010231,108
195,AP21110011491,108
196,AP21110010677,65
197,AP21110011512,107
198,AP21110011460,107
199,AP21110010501,24
